FEN,Moves,Moves_UCI,Puzzle_ID,%win_LST_best_move,%win_Stockfish_best_move,CP_LST_best_move,CP_Stockfish_best_move,move_LST,correct_LST,%win_LST_move_LST,%win_Stockfish_move_LST,CP_LST_move_LST,CP_Stockfish_move_LST,move_Stockfish,correct_Stockfish,%win_LST_move_Stockfish,%win_Stockfish_move_Stockfish,CP_LST_move_Stockfish,CP_Stockfish_move_Stockfish
r3r3/5Rpp/p1k5/P1p5/7N/6P1/2p2P1P/2R3K1 b - - 0 1,Re1+,e8e1,001CBP,0.23366213165956212,0.5119644756166626,-322,13,e8e2,False,0.25962842113247153,0.3376418641828339,-284,-183,e8e1,True,0.23366213165956212,0.5119644756166626,-322,13
r2qr1k1/1b1n1p1p/pp1Q1np1/2pp4/3P4/2N1P3/PP1B1PPP/1BR2RK1 b - - 0 1,Re5,e8e5,002CBP,0.3791460805221584,0.591915609324709,-133,101,a8c8,False,0.4526702445478553,0.4504550396254112,-51,-54,e8e5,True,0.3791460805221584,0.591915609324709,-133,101
7r/p4pk1/bpBqp1p1/8/1P1b3P/P4Q1P/2R2P2/2R3K1 w - - 0 1,b5,b4b5,003CBP,0.558934943815243,0.6944706044506174,64,223,b4b5,True,0.558934943815243,0.6944706044506174,64,223,b4b5,True,0.558934943815243,0.6944706044506174,64,223
4r1k1/5Rp1/1p2r2p/7P/2PQnB1q/4P3/6P1/5RK1 b - - 0 1,Kxf7,g8f7,004CBP,0.16894757965770513,0.1572241570074313,-432,-456,h4g4,False,0.4140186857981589,0.48803552438333736,-94,-13,h4g4,False,0.4140186857981589,0.48803552438333736,-94,-13
2r3k1/4bppp/p3p3/q1n1P1PP/1pQ2P2/5B2/PPb5/K1NR2R1 b - - 0 1,Qa4,a5a4,005CBP,0.4081822839970499,0.5349228039541688,-100,38,c2d1,False,0.4976718807477621,0.48619570897068454,-2,-15,a5a4,True,0.4081822839970499,0.5349228039541688,-100,38
r4rk1/pb3pp1/1p1ppq1p/8/2PR3n/P1N1P1P1/1PQ1BP1P/5RK1 b - - 0 1,Qf3,f6f3,006CBP,0.5124887045343982,0.883790565019261,13,551,h4f3,False,0.5859606271436719,0.48067870579756605,94,-21,f6f3,True,0.5124887045343982,0.883790565019261,13,551
1br3k1/5pp1/p3p2p/1bBn4/N7/1P3PP1/5R1P/2R3K1 b - - 0 1,Bxa4,b5a4,007CBP,0.501357841145153,0.5847815132358991,1,93,b5a4,True,0.501357841145153,0.5847815132358991,1,93,b5a4,True,0.501357841145153,0.5847815132358991,1,93
8/2p1q2k/3p3p/3P1p1n/3QpPrP/2P1N1PK/1r6/5RR1 b - - 0 1,Rxh4+,g4h4,008CBP,0.24490099641794938,0.9999838761317534,-305,2997,c7c5,False,0.6926155968205561,0.4368235823566406,220,-69,e7h4,False,0.16129310451669276,0.9999838761317534,-447,2997
5k2/7p/pr1pB1p1/2pP4/1P6/6PP/R3qP2/R5K1 b - - 0 1,Qe4,e2e4,009CBP,0.5960278978739368,0.6850156824376978,105,211,e2d3,False,0.6019733494500716,0.5981264356862743,112,108,e2e4,True,0.5960278978739368,0.6850156824376978,105,211
2r3r1/p1q2p1k/1p1p1p1p/n3pP2/3PPN1Q/P4R2/6PP/R5K1 b - - 0 1,Qc4,c7c4,010CBP,0.5886821869262553,0.716645830340413,97,252,c7c4,True,0.5886821869262553,0.716645830340413,97,252,c7c4,True,0.5886821869262553,0.716645830340413,97,252
b1rqk2r/3nbppp/4pn2/p1p3N1/Np1P4/3BP2Q/PP1B1PPP/2R2RK1 w k - 0 1,Bg6,d3g6,011CBP,0.40460693385011026,0.700684702726408,-104,231,e3e4,False,0.5462510105285592,0.5901355884591462,50,99,d3g6,True,0.40460693385011026,0.700684702726408,-104,231
r3k2r/p4p1p/q2p1npQ/4P3/1pnR4/1N3N1P/PpP2PP1/1K1R4 b kq - 0 1,Rc8,a8c8,012CBP,0.2564484174404773,0.4623301956955016,-289,-41,d6e5,False,0.36641201258433553,0.354302733312082,-148,-163,a8c8,True,0.2564484174404773,0.4623301956955016,-289,-41
