FEN,Moves,Moves_UCI,Puzzle_ID,%win_LST_best_move,%win_Stockfish_best_move,CP_LST_best_move,CP_Stockfish_best_move,move_LST,correct_LST,%win_LST_move_LST,%win_Stockfish_move_LST,CP_LST_move_LST,CP_Stockfish_move_LST,move_Stockfish,correct_Stockfish,%win_LST_move_Stockfish,%win_Stockfish_move_Stockfish,CP_LST_move_Stockfish,CP_Stockfish_move_Stockfish
r1br2k1/1pp2p1p/n5p1/p3q3/P1Q1P3/2N3P1/1P3PBP/R4RK1 b - - 0 1,c6,c7c6,001SBP,0.5993243244931517,0.6363776066437299,109,152,c7c6,True,0.5993243244931517,0.6363776066437299,109,152,c7c6,True,0.5993243244931517,0.6363776066437299,109,152
r4rk1/2qnbppp/p3p3/2pbP3/2N5/1P3N2/P2BQPPP/R4RK1 b - - 0 1,a5,a6a5,002SBP,0.5654096818988898,0.5522778816577142,71,57,a6a5,True,0.5654096818988898,0.5522778816577142,71,57,a6a5,True,0.5654096818988898,0.5522778816577142,71,57
4rrk1/p1pbqppp/1pnb4/4p3/2PP4/P3PN1P/1BQ1BPP1/R4RK1 w - - 0 1,c5,c4c5,003SBP,0.5821494315231871,0.5394998785122574,90,43,c4c5,True,0.5821494315231871,0.5394998785122574,90,43,c4c5,True,0.5821494315231871,0.5394998785122574,90,43
2r2rk1/pq1n1ppp/4pb2/8/Pp1B4/1P2PN1P/4QPP1/2RR2K1 w - - 0 1,Qb5,e2b5,004SBP,0.6070312068281682,0.5874611371519987,118,96,e2b5,True,0.6070312068281682,0.5874611371519987,118,96,e2b5,True,0.6070312068281682,0.5874611371519987,118,96
3r1rk1/1p4p1/p1pnbq1p/P2pNp2/1P1P1PPP/3BP3/2Q1R1K1/5R2 b - - 0 1,fxg4,f5g4,005SBP,0.5702504035002928,0.5820968656397246,76,90,f5g4,True,0.5702504035002928,0.5820968656397246,76,90,f5g4,True,0.5702504035002928,0.5820968656397246,76,90
r6k/2pq1rbp/1p1p4/p2Pp1R1/P1P1Bn1P/1P2BP2/6Q1/2K3R1 w - - 0 1,Bxf4,e3f4,006SBP,0.7496826735584019,0.7060621760779617,297,238,e3f4,True,0.7496826735584019,0.7060621760779617,297,238,e3f4,True,0.7496826735584019,0.7060621760779617,297,238
1r1b1rk1/p1pq1ppp/3p4/2pN4/4P3/1P4Q1/P1P2PPP/R4RK1 w - - 0 1,Rad1,a1d1,007SBP,0.5683047939476513,0.5577340998516674,74,63,a1d1,True,0.5683047939476513,0.5577340998516674,74,63,a1d1,True,0.5683047939476513,0.5577340998516674,74,63
r3qrk1/pb3pp1/1p5p/2ppP1bQ/8/2PBP1B1/P4PPP/2R2RK1 w - - 0 1,f4,f2f4,008SBP,0.6538756615383948,0.6515713880482262,172,170,f2f4,True,0.6538756615383948,0.6515713880482262,172,170,f2f4,True,0.6538756615383948,0.6515713880482262,172,170
3q1r1k/1p2p1bp/3p4/5p2/rPP5/5P2/3BQ1PP/1R3R1K w - - 0 1,Bg5,d2g5,009SBP,0.6059434045466332,0.6148212729952696,116,127,d2g5,True,0.6059434045466332,0.6148212729952696,116,127,d2g5,True,0.6059434045466332,0.6148212729952696,116,127
1r4k1/1q3ppp/1b6/2p5/Q1B1P3/5P2/6PP/1R4K1 w - - 0 1,Rd1,b1d1,010SBP,0.5467042324845872,0.5559168418448287,50,61,g2g3,False,0.5543697212633015,0.5119644756166626,59,13,b1d1,True,0.5467042324845872,0.5559168418448287,50,61
