FEN,Moves,Moves_UCI,Puzzle_ID,%win_LST_best_move,%win_Stockfish_best_move,CP_LST_best_move,CP_Stockfish_best_move,move_LST,correct_LST,%win_LST_move_LST,%win_Stockfish_move_LST,CP_LST_move_LST,CP_Stockfish_move_LST,move_Stockfish,correct_Stockfish,%win_LST_move_Stockfish,%win_Stockfish_move_Stockfish,CP_LST_move_Stockfish,CP_Stockfish_move_Stockfish
r1br2k1/1pp2p1p/n5p1/p3q3/P1Q1P3/2N3P1/1P3PBP/R4RK1 b - - 0 1,c6,c7c6,001SBP,0.6011526622250534,0.6060654870564154,111,117,c7c6,True,0.6011526622250534,0.6060654870564154,111,117,c7c6,True,0.6011526622250534,0.6060654870564154,111,117
r4rk1/2qnbppp/p3p3/2pbP3/2N5/1P3N2/P2BQPPP/R4RK1 b - - 0 1,a5,a6a5,002SBP,0.5650729544021381,0.5522778816577142,71,57,a6a5,True,0.5650729544021381,0.5522778816577142,71,57,a6a5,True,0.5650729544021381,0.5522778816577142,71,57
4rrk1/p1pbqppp/1pnb4/4p3/2PP4/P3PN1P/1BQ1BPP1/R4RK1 w - - 0 1,c5,c4c5,003SBP,0.550970629539839,0.5767131009559461,55,84,c4c5,True,0.550970629539839,0.5767131009559461,55,84,c4c5,True,0.550970629539839,0.5767131009559461,55,84
2r2rk1/pq1n1ppp/4pb2/8/Pp1B4/1P2PN1P/4QPP1/2RR2K1 w - - 0 1,Qb5,e2b5,004SBP,0.5994960378500742,0.6174338599757672,109,130,e2b5,True,0.5994960378500742,0.6174338599757672,109,130,e2b5,True,0.5994960378500742,0.6174338599757672,109,130
3r1rk1/1p4p1/p1pnbq1p/P2pNp2/1P1P1PPP/3BP3/2Q1R1K1/5R2 b - - 0 1,fxg4,f5g4,005SBP,0.5306181723884442,0.6243673063917166,33,138,f5g4,True,0.5306181723884442,0.6243673063917166,33,138,f5g4,True,0.5306181723884442,0.6243673063917166,33,138
r6k/2pq1rbp/1p1p4/p2Pp1R1/P1P1Bn1P/1P2BP2/6Q1/2K3R1 w - - 0 1,Bxf4,e3f4,006SBP,0.789806302219749,0.5568256609665037,359,62,e3f4,True,0.789806302219749,0.5568256609665037,359,62,g2f1,False,0.5533729111943605,0.5812008926446736,58,89
1r1b1rk1/p1pq1ppp/3p4/2pN4/4P3/1P4Q1/P1P2PPP/R4RK1 w - - 0 1,Rad1,a1d1,007SBP,0.5657767025297873,0.5713110574149894,71,78,a1d1,True,0.5657767025297873,0.5713110574149894,71,78,f1e1,False,0.5580599240238624,0.5722126153120402,63,79
r3qrk1/pb3pp1/1p5p/2ppP1bQ/8/2PBP1B1/P4PPP/2R2RK1 w - - 0 1,f4,f2f4,008SBP,0.6578333331971479,0.6607092522793869,177,181,f2f4,True,0.6578333331971479,0.6607092522793869,177,181,f2f4,True,0.6578333331971479,0.6607092522793869,177,181
3q1r1k/1p2p1bp/3p4/5p2/rPP5/5P2/3BQ1PP/1R3R1K w - - 0 1,Bg5,d2g5,009SBP,0.6090984937583481,0.623503343299711,120,137,d2g5,True,0.6090984937583481,0.623503343299711,120,137,d2g5,True,0.6090984937583481,0.623503343299711,120,137
1r4k1/1q3ppp/1b6/2p5/Q1B1P3/5P2/6PP/1R4K1 w - - 0 1,Rd1,b1d1,010SBP,0.5401194834457781,0.5677001476173855,43,74,g2g3,False,0.5497476522558518,0.5404145195219514,54,44,b1d1,True,0.5401194834457781,0.5677001476173855,43,74
q5k1/1p3pb1/2ppbnpp/1P2pn2/2P5/2NP2P1/1B1NPPBP/3Q2K1 w - - 0 1,Qa4,d1a4,011SBP,0.5371680724274202,0.5577340998516674,40,63,d1a4,True,0.5371680724274202,0.5577340998516674,40,63,d1a4,True,0.5371680724274202,0.5577340998516674,40,63
