FEN,Moves,Moves_UCI,%win_LST_best_move,%win_Stockfish_best_move,CP_LST_best_move,CP_Stockfish_best_move,move_LST,correct_LST,%win_LST_move_LST,%win_Stockfish_move_LST,CP_LST_move_LST,CP_Stockfish_move_LST,move_Stockfish,correct_Stockfish,%win_LST_move_Stockfish,%win_Stockfish_move_Stockfish,CP_LST_move_Stockfish,CP_Stockfish_move_Stockfish
1r3rk1/p1n2ppp/b7/P1p1P3/1pNbN3/1P4PB/5P1P/2RR2K1 w - - 0 1,Ncd6,c4d6,0.6243361990020804,0.623503343299711,137,137,c4d6,True,0.6243361990020804,0.623503343299711,137,137,c4d6,True,0.6243361990020804,0.623503343299711,137,137
5rk1/4qpbp/1p2r1p1/pNp1n3/2Pp2P1/3P3P/PP1BPRQ1/5RK1 b - - 0 1,g5,g6g5,0.5701568212582548,0.6174338599757672,76,130,g6g5,True,0.5701568212582548,0.6174338599757672,76,130,g6g5,True,0.5701568212582548,0.6174338599757672,76,130
8/1prr1pkp/4nRp1/2qB2P1/pp2P1PP/P5Q1/1P6/1K3R2 w - - 0 1,axb4,a3b4,0.6490515922666638,0.6590564612649169,166,179,g3e5,False,0.738293495635503,0.5749143902876699,281,82,a3b4,True,0.6490515922666638,0.6590564612649169,166,179
r4r1k/p1pb4/1p1p3p/3Pq3/2P2p2/3pBN2/PPQ2P1P/6RK w - - 0 1,Qxd3,c2d3,0.5628336255104336,0.6423206501894636,68,159,c2d3,True,0.5628336255104336,0.6423206501894636,68,159,c2d3,True,0.5628336255104336,0.6423206501894636,68,159
2k4r/2p2rpp/3b1n2/Npp1p1B1/4P3/3R1P2/PP3P1P/3R2K1 w - - 0 1,Rb3,d3b3,0.6130018934122519,0.6191718321143753,124,132,d3b3,True,0.6130018934122519,0.6191718321143753,124,132,d3b3,True,0.6130018934122519,0.6191718321143753,124,132
3r1rk1/b2qnpp1/p1pp3p/4p3/P1P1P3/BN4P1/4PPKP/1R1Q1R2 b - - 0 1,c5,c6c5,0.48135179669733724,0.5257517538936253,-20,28,f7f5,False,0.500130907980953,0.39130033495471916,0,-120,c6c5,True,0.48135179669733724,0.5257517538936253,-20,28
r2qnrk1/1pp1bppp/p7/3Pp1B1/4P3/P1N2Q2/1P3PPP/2RR2K1 w - - 0 1,Bxe7,g5e7,0.5639766162548165,0.5577340998516674,69,63,g5e7,True,0.5639766162548165,0.5577340998516674,69,63,g5e3,False,0.5621300925853701,0.5586421525846197,67,64
r1q4k/1p3rp1/2pnbp1p/2N5/PR1Pp1P1/4P2P/1Q3PB1/3R2K1 w - - 0 1,Nxe6,c5e6,0.5600355439995736,0.5865684965842631,65,95,c5e6,True,0.5600355439995736,0.5865684965842631,65,95,c5e6,True,0.5600355439995736,0.5865684965842631,65,95
rr6/3nnpk1/2q1b1pp/p1ppP3/PpP2Q1P/5N2/1PBN1PP1/R3R1K1 b - - 0 1,b3,b4b3,0.44804322584946715,0.4513666864926168,-56,-53,b4b3,True,0.44804322584946715,0.4513666864926168,-56,-53,b4b3,True,0.44804322584946715,0.4513666864926168,-56,-53
2rq1rk1/3nbp1p/p1b1p3/1pp2p2/2PP4/1P3NP1/P2NQPBP/3R1RK1 w - - 0 1,d5,d4d5,0.6186652866941719,0.585675286773559,131,94,d4d5,True,0.6186652866941719,0.585675286773559,131,94,d4d5,True,0.6186652866941719,0.585675286773559,131,94
3q1r1k/4nnbp/pr1p2p1/2pP4/R3NPP1/7P/1P6/3QRBBK w - - 0 1,b4,b2b4,0.6132213048561523,0.6770173032617418,125,201,b2b3,False,0.6355594617416416,0.6346718261450347,151,150,b2b4,True,0.6132213048561523,0.6770173032617418,125,201
