FEN,Moves,Moves_UCI,Puzzle_ID,%win_LST_best_move,%win_Stockfish_best_move,CP_LST_best_move,CP_Stockfish_best_move,move_LST,correct_LST,%win_LST_move_LST,%win_Stockfish_move_LST,CP_LST_move_LST,CP_Stockfish_move_LST,move_Stockfish,correct_Stockfish,%win_LST_move_Stockfish,%win_Stockfish_move_Stockfish,CP_LST_move_Stockfish,CP_Stockfish_move_Stockfish
r3r3/5Rpp/p1k5/P1p5/7N/6P1/2p2P1P/2R3K1 b - - 0 1,Re1+,e8e1,001CBP,0.2336618675231056,0.45227865991833244,-322,-52,e8e2,False,0.259628395610622,0.3602211364871788,-284,-156,e8e1,True,0.2336618675231056,0.45227865991833244,-322,-52
r2qr1k1/1b1n1p1p/pp1Q1np1/2pp4/3P4/2N1P3/PP1B1PPP/1BR2RK1 b - - 0 1,Re5,e8e5,002CBP,0.37914593147222514,0.5568256609665037,-133,62,a8c8,False,0.45267019777713124,0.45319095389262815,-51,-51,e8e5,True,0.37914593147222514,0.5568256609665037,-133,62
7r/p4pk1/bpBqp1p1/8/1P1b3P/P4Q1P/2R2P2/2R3K1 w - - 0 1,b5,b4b5,003CBP,0.5589348161951601,0.7313584554765282,64,272,b4b5,True,0.5589348161951601,0.7313584554765282,64,272,b4b5,True,0.5589348161951601,0.7313584554765282,64,272
4r1k1/5Rp1/1p2r2p/7P/2PQnB1q/4P3/6P1/5RK1 b - - 0 1,Kxf7,g8f7,004CBP,0.16894722080198488,0.4586711116420767,-432,-45,h4g4,False,0.41401860708572125,0.4650771960458313,-94,-38,h4g4,False,0.41401860708572125,0.4650771960458313,-94,-38
2r3k1/4bppp/p3p3/q1n1P1PP/1pQ2P2/5B2/PPb5/K1NR2R1 b - - 0 1,Qa4,a5a4,005CBP,0.4081824725952621,0.5722126153120402,-100,79,c2d1,False,0.4976719367297161,0.5147240615881282,-2,16,a5a4,True,0.4081824725952621,0.5722126153120402,-100,79
r4rk1/pb3pp1/1p1ppq1p/8/2PR3n/P1N1P1P1/1PQ1BP1P/5RK1 b - - 0 1,Qf3,f6f3,006CBP,0.5124889569142992,0.883790565019261,13,551,h4f3,False,0.5859605958642404,0.4742482461063748,94,-28,f6f3,True,0.5124889569142992,0.883790565019261,13,551
1br3k1/5pp1/p3p2p/1bBn4/N7/1P3PP1/5R1P/2R3K1 b - - 0 1,Bxa4,b5a4,007CBP,0.5013578971103101,0.5794073444653803,1,87,b5a4,True,0.5013578971103101,0.5794073444653803,1,87,b5a4,True,0.5013578971103101,0.5794073444653803,1,87
8/2p1q2k/3p3p/3P1p1n/3QpPrP/2P1N1PK/1r6/5RR1 b - - 0 1,Rxh4+,g4h4,008CBP,0.24490110394536568,0.9999838761317534,-305,2997,c7c5,False,0.692615091436168,0.5,220,0,e7h4,False,0.16129353555078296,0.9999838761317534,-447,2997
5k2/7p/pr1pB1p1/2pP4/1P6/6PP/R3qP2/R5K1 b - - 0 1,Qe4,e2e4,009CBP,0.5960280279390098,0.736392171900456,105,279,e2d3,False,0.6019730802094414,0.5910258971916128,112,100,e2e4,True,0.5960280279390098,0.736392171900456,105,279
2r3r1/p1q2p1k/1p1p1p1p/n3pP2/3PPN1Q/P4R2/6PP/R5K1 b - - 0 1,Qc4,c7c4,010CBP,0.5886824546147547,0.7392412438359773,97,283,c7c4,True,0.5886824546147547,0.7392412438359773,97,283,c7c4,True,0.5886824546147547,0.7392412438359773,97,283
