FEN,Moves,Moves_UCI,%win_LST_best_move,%win_Stockfish_best_move,CP_LST_best_move,CP_Stockfish_best_move,move_LST,correct_LST,%win_LST_move_LST,%win_Stockfish_move_LST,CP_LST_move_LST,CP_Stockfish_move_LST,move_Stockfish,correct_Stockfish,%win_LST_move_Stockfish,%win_Stockfish_move_Stockfish,CP_LST_move_Stockfish,CP_Stockfish_move_Stockfish
1r3rk1/p1n2ppp/b7/P1p1P3/1pNbN3/1P4PB/5P1P/2RR2K1 w - - 0 1,Ncd6,c4d6,0.6376808207496669,0.6623581358171662,153,183,c4d6,True,0.6376808207496669,0.6623581358171662,153,183,c4d6,True,0.6376808207496669,0.6623581358171662,153,183
5rk1/4qpbp/1p2r1p1/pNp1n3/2Pp2P1/3P3P/PP1BPRQ1/5RK1 b - - 0 1,g5,g6g5,0.5764301244209985,0.6389298484637961,83,155,g6g5,True,0.5764301244209985,0.6389298484637961,83,155,g6g5,True,0.5764301244209985,0.6389298484637961,83,155
8/1prr1pkp/4nRp1/2qB2P1/pp2P1PP/P5Q1/1P6/1K3R2 w - - 0 1,axb4,a3b4,0.6805915487017163,0.6295343100667656,205,144,a3b4,True,0.6805915487017163,0.6295343100667656,205,144,a3b4,True,0.6805915487017163,0.6295343100667656,205,144
r4r1k/p1pb4/1p1p3p/3Pq3/2P2p2/3pBN2/PPQ2P1P/6RK w - - 0 1,Qxd3,c2d3,0.6456386748483078,0.6490594228774123,162,167,c2d3,True,0.6456386748483078,0.6490594228774123,162,167,c2d3,True,0.6456386748483078,0.6490594228774123,162,167
2k4r/2p2rpp/3b1n2/Npp1p1B1/4P3/3R1P2/PP3P1P/3R2K1 w - - 0 1,Rb3,d3b3,0.5867811914474905,0.6243673063917166,95,138,a2a4,False,0.602489532414109,0.597241050790976,112,107,d3b3,True,0.5867811914474905,0.6243673063917166,95,138
3r1rk1/b2qnpp1/p1pp3p/4p3/P1P1P3/BN4P1/4PPKP/1R1Q1R2 b - - 0 1,c5,c6c5,0.49053931770061343,0.5046024700028845,-10,5,c6c5,True,0.49053931770061343,0.5046024700028845,-10,5,c6c5,True,0.49053931770061343,0.5046024700028845,-10,5
r2qnrk1/1pp1bppp/p7/3Pp1B1/4P3/P1N2Q2/1P3PPP/2RR2K1 w - - 0 1,Bxe7,g5e7,0.5534475698733754,0.5468090461073719,58,51,g5e3,False,0.5628177717420386,0.5604570759825421,68,66,g5d2,False,0.5580092154968439,0.5677001476173855,63,74
r1q4k/1p3rp1/2pnbp1p/2N5/PR1Pp1P1/4P2P/1Q3PB1/3R2K1 w - - 0 1,Nxe6,c5e6,0.567231934587562,0.5559168418448287,73,61,c5e6,True,0.567231934587562,0.5559168418448287,73,61,c5e6,True,0.567231934587562,0.5559168418448287,73,61
rr6/3nnpk1/2q1b1pp/p1ppP3/PpP2Q1P/5N2/1PBN1PP1/R3R1K1 b - - 0 1,b3,b4b3,0.4413583899097414,0.4241860033205554,-63,-83,b4b3,True,0.4413583899097414,0.4241860033205554,-63,-83,b4b3,True,0.4413583899097414,0.4241860033205554,-63,-83
2rq1rk1/3nbp1p/p1b1p3/1pp2p2/2PP4/1P3NP1/P2NQPBP/3R1RK1 w - - 0 1,d5,d4d5,0.6102789691009267,0.6148212729952696,121,127,d4d5,True,0.6102789691009267,0.6148212729952696,121,127,d4d5,True,0.6102789691009267,0.6148212729952696,121,127
3q1r1k/4nnbp/pr1p2p1/2pP4/R3NPP1/7P/1P6/3QRBBK w - - 0 1,b4,b2b4,0.6072389253143835,0.6873942354748303,118,214,b2b3,False,0.6468110834482789,0.6191718321143753,164,132,b2b4,True,0.6072389253143835,0.6873942354748303,118,214
br2rbk1/2qn1ppp/2pp4/p7/1pP1P3/1B1NBP2/PPQ3PP/3RR1K1 w - - 0 1,c5,c4c5,0.6208309762656364,0.6295343100667656,133,144,c4c5,True,0.6208309762656364,0.6295343100667656,133,144,c4c5,True,0.6208309762656364,0.6295343100667656,133,144
r1bqk2r/1p3pbp/p1nppnp1/8/2P1P3/1NNB4/PP3PPP/R1BQ1RK1 w kq - 0 1,Be2,d3e2,0.5790965569052156,0.5963550316463674,86,106,d3e2,True,0.5790965569052156,0.5963550316463674,86,106,c1g5,False,0.5752268917270559,0.5990111810176295,82,109
r3r3/2nq1pbk/p2p2pp/2pP4/Pp2PP2/6B1/1P1Q2PP/3NRRK1 b - - 0 1,f5,f7f5,0.5575365990274677,0.6243673063917166,62,138,f7f5,True,0.5575365990274677,0.6243673063917166,62,138,f7f5,True,0.5575365990274677,0.6243673063917166,62,138
2rq1rk1/5ppp/1p2p3/1PnbP3/p1RN3b/P3B2P/4BPP1/3Q1RK1 w - - 0 1,Nc6,d4c6,0.5720024913745524,0.6148212729952696,78,127,d4c6,True,0.5720024913745524,0.6148212729952696,78,127,d4c6,True,0.5720024913745524,0.6148212729952696,78,127
2r3k1/2q1bpp1/2n1p1n1/1p1rP2p/3pQ2P/3N1N2/PP1B1PP1/2R1R1K1 w - - 0 1,g4,g2g4,0.6287728723726629,0.659883343273332,143,180,c1c2,False,0.629888122447944,0.6312501413084699,144,146,g2g4,True,0.6287728723726629,0.659883343273332,143,180
1n3rk1/1bq1npbp/1p4p1/2p1p3/1PPp4/1Q1PPNP1/1B1N1PBP/R5K1 b - - 0 1,dxe3,d4e3,0.5518907966793709,0.5803043837193158,56,88,d4e3,True,0.5518907966793709,0.5803043837193158,56,88,d4e3,True,0.5518907966793709,0.5803043837193158,56,88
1r1r2k1/1b1nqpb1/1pp1p1pp/p7/N2P4/PQ2PN2/1P2BPPP/2RR2K1 b - - 0 1,c5,c6c5,0.5632571836702785,0.5540980866051488,69,59,c6c5,True,0.5632571836702785,0.5540980866051488,69,59,c6c5,True,0.5632571836702785,0.5540980866051488,69,59
r1bqr1k1/1p4bp/2pp2p1/p1n1pp1n/2P1P3/1PNPB1PP/P2QNPB1/R4RK1 w - - 0 1,exf5,e4f5,0.5842153766708322,0.6104522820914586,92,122,e4f5,True,0.5842153766708322,0.6104522820914586,92,122,e4f5,True,0.5842153766708322,0.6104522820914586,92,122
1nbq1rk1/1pp2ppp/3p1n2/4p3/1PP5/2Q2NP1/3PPP1P/B3KB1R b K - 0 1,b5,b7b5,0.47832942568426723,0.49079583987119135,-23,-10,b7b5,True,0.47832942568426723,0.49079583987119135,-23,-10,b7b5,True,0.47832942568426723,0.49079583987119135,-23,-10
3r4/p4pk1/1p2bqpp/2p5/2Pp2PP/PP1Q1P2/8/1K2R2R b - - 0 1,h5,h6h5,0.5731281709159203,0.5640820298184349,80,70,h6h5,True,0.5731281709159203,0.5640820298184349,80,70,d8d6,False,0.5070044546987849,0.5713110574149894,7,78
rq3rk1/1b1nbppp/ppnpp3/8/2P1PP2/1NN1BB2/PP2Q1PP/2RR2K1 w - - 0 1,Na4,c3a4,0.576093542420949,0.5767131009559461,83,84,e4e5,False,0.5991096152656339,0.5820968656397246,109,90,g1h1,False,0.5823674358718853,0.5883532029754936,90,97
r1q1kb1r/5ppp/1pbppn2/p7/PPP1P3/6P1/3N1PBP/R1BQ1RK1 w kq - 0 1,c5,c4c5,0.606838308219859,0.6881849068891515,117,215,b4b5,False,0.6260787100466122,0.6794279896334919,139,204,c4c5,True,0.606838308219859,0.6881849068891515,117,215
r4rk1/pb3pp1/1pp1pn1p/8/2PP3Q/qP1B1N2/P4PPP/R3R1K1 w - - 0 1,g4,g2g4,0.5821061602704188,0.6858096201223898,90,212,g2g4,True,0.5821061602704188,0.6858096201223898,90,212,g2g4,True,0.5821061602704188,0.6858096201223898,90,212
r1bqk2r/p1pnn1b1/1p1pp2p/5pp1/2PPP3/P1N1BN2/1P2BPPP/2RQ1RK1 w kq - 0 1,c5,c4c5,0.5900637011129402,0.5874611371519987,98,96,c4c5,True,0.5900637011129402,0.5874611371519987,98,96,c4c5,True,0.5900637011129402,0.5874611371519987,98,96
r1b2rk1/1pqn1ppp/p3pn2/3p4/1bPN4/1PN3P1/P1Q1PPBP/R1BR2K1 w - - 0 1,Na4,c3a4,0.6124762950454334,0.6312501413084699,124,146,c3a4,True,0.6124762950454334,0.6312501413084699,124,146,c3a4,True,0.6124762950454334,0.6312501413084699,124,146
2r3k1/5pp1/p2q2bp/1p1p4/3Nn3/N1P1R3/PP3PPP/4Q1K1 b - - 0 1,b4,b5b4,0.5364862573195462,0.5513672504375507,39,56,b5b4,True,0.5364862573195462,0.5513672504375507,39,56,b5b4,True,0.5364862573195462,0.5513672504375507,39,56
1rq1r1k1/R3b1pp/1npppn2/1p2p1N1/1P1PP3/2NQB2P/2P2PP1/4R1K1 w - - 0 1,d5,d4d5,0.5922828643847988,0.6183032245766588,101,131,d4d5,True,0.5922828643847988,0.6183032245766588,101,131,d4d5,True,0.5922828643847988,0.6183032245766588,101,131
4rrk1/p2bq3/2pp2p1/5n1p/2P1N3/2P3P1/P2Q2BP/4RRK1 w - - 0 1,h3,h2h3,0.5893248535736659,0.613075853553636,98,125,h2h3,True,0.5893248535736659,0.613075853553636,98,125,h2h3,True,0.5893248535736659,0.613075853553636,98,125
r4rk1/pb3pb1/1pppqnpp/4n3/2P4B/P1N1PN2/1PQ1BPPP/3R1RK1 w - - 0 1,Nxe5,f3e5,0.5765622653707128,0.6113275248507526,83,123,f3d4,False,0.6019912116984436,0.6200396776969423,112,133,f3d4,False,0.6019912116984436,0.6200396776969423,112,133
r3kn1r/1bp1qp2/pp1b1n1p/3Pp1p1/P1B5/2N1PNB1/1P2QPPP/R4RK1 w kq - 0 1,a5,a4a5,0.5484628047668545,0.5613639348680176,52,67,f3d2,False,0.5718263811708753,0.5658919665398462,78,72,a1e1,False,0.5487296312472971,0.5767131009559461,53,84
rnbq1rk1/p3ppbp/1pp3p1/2Pp4/N2P1P2/3BP2P/PPQ3P1/2R1K1NR b K - 0 1,e5,e7e5,0.4927693341841265,0.5385849714102531,-7,42,f7f6,False,0.5236768906349338,0.5073636275599663,25,8,e7e5,True,0.4927693341841265,0.5385849714102531,-7,42
3r2k1/1pqnbbpp/2p2p2/2N1p3/1P2P3/2QPB1P1/r4PBP/1R3RK1 b - - 0 1,b5,b7b5,0.5144756280442417,0.519321294202434,15,21,d8a8,False,0.5260057593202472,0.5055228953683342,28,6,b7b5,True,0.5144756280442417,0.519321294202434,15,21
4rrk1/pb1nq1pp/1p1bp3/2p2pN1/2PP4/1P2Q3/PB2BPPP/4RRK1 w - - 0 1,Bh5,e2h5,0.5815185299457208,0.6025436609853058,89,113,e2h5,True,0.5815185299457208,0.6025436609853058,89,113,e2h5,True,0.5815185299457208,0.6025436609853058,89,113
r2qnrn1/pp3pbk/3p2p1/2pPp2p/2P1P2N/5PPb/PPQBB2P/R2NR1K1 w - - 0 1,Nf5,h4f5,0.5855662393375726,0.6269544312155905,93,141,d1f2,False,0.6227314408936582,0.6122020503513589,136,124,e2d3,False,0.6015795449686805,0.6295343100667656,111,144
2rq1rk1/4b1pp/p1b1pp2/1pnp4/4PB1P/5PN1/PPPQB1P1/1K1R3R w - - 0 1,Nf5,g3f5,0.5054747112009372,0.5550076484124536,5,60,g3f5,True,0.5054747112009372,0.5550076484124536,5,60,g3f5,True,0.5054747112009372,0.5550076484124536,5,60
rn1qk2r/1p2bppp/p1n1p3/3bP3/3N1B2/3B1N2/PP3PPP/R2Q1RK1 b kq - 0 1,g5,g7g5,0.5587769379493885,0.5820968656397246,64,90,g7g5,True,0.5587769379493885,0.5820968656397246,64,90,g7g5,True,0.5587769379493885,0.5820968656397246,64,90
1r1qk2r/3b1p1p/Q2p2p1/2p1p3/2P1P3/2P1PN2/P4KPP/RR6 b k - 0 1,Ke7,e8e7,0.5846215546116057,0.5981264356862743,92,108,e8e7,True,0.5846215546116057,0.5981264356862743,92,108,e8e7,True,0.5846215546116057,0.5981264356862743,92,108
r2qr1k1/1p1b1p1p/p1n1pbp1/2Pp4/1P1B1P2/P1P2N2/3QB1PP/2R2RK1 w - - 0 1,Bxf6,d4f6,0.5897765866585077,0.607822300927273,98,119,d4f6,True,0.5897765866585077,0.607822300927273,98,119,d4f6,True,0.5897765866585077,0.607822300927273,98,119
r4rk1/pp4pp/2p3b1/3pR2n/3P4/5P1B/PPP1N2P/2K3R1 b - - 0 1,Rxf3,f8f3,0.40703589769222004,0.649897670785642,-102,168,h5f4,False,0.5140940362380211,0.5294226081270875,15,32,f8f3,True,0.40703589769222004,0.649897670785642,-102,168
